city_id,city,country_id,last_update
1,A Corua (La Corua,,
2,Abha,82,2/15/2006 4:45
3,Abu Dhabi,101,2/15/2006 4:45
4,Acua,60,2/15/2006 4:45
5,Adana,97,2/15/2006 4:45
6,Addis Abeba,31,2/15/2006 4:45
7,Aden,107,2/15/2006 4:45
8,Adoni,44,2/15/2006 4:45
9,Ahmadnagar,44,2/15/2006 4:45
10,Akishima,50,2/15/2006 4:45
11,Akron,103,2/15/2006 4:45
12,al-Ayn,101,2/15/2006 4:45
13,al-Hawiya,82,2/15/2006 4:45
14,al-Manama,11,2/15/2006 4:45
15,al-Qadarif,89,2/15/2006 4:45
16,al-Qatif,82,2/15/2006 4:45
17,Alessandria,49,2/15/2006 4:45
18,Allappuzha (Alleppey,,
19,Allende,60,2/15/2006 4:45
20,Almirante Brown,6,2/15/2006 4:45
21,Alvorada,15,2/15/2006 4:45
22,Ambattur,44,2/15/2006 4:45
23,Amersfoort,67,2/15/2006 4:45
24,Amroha,44,2/15/2006 4:45
25,Angra dos Reis,15,2/15/2006 4:45
26,Anpolis,15,2/15/2006 4:45
27,Antofagasta,22,2/15/2006 4:45
28,Aparecida de Goinia,15,2/15/2006 4:45
29,Apeldoorn,67,2/15/2006 4:45
30,Araatuba,15,2/15/2006 4:45
31,Arak,46,2/15/2006 4:45
32,Arecibo,77,2/15/2006 4:45
33,Arlington,103,2/15/2006 4:45
34,Ashdod,48,2/15/2006 4:45
35,Ashgabat,98,2/15/2006 4:45
36,Ashqelon,48,2/15/2006 4:45
37,Asuncin,73,2/15/2006 4:45
38,Athenai,39,2/15/2006 4:45
39,Atinsk,80,2/15/2006 4:45
40,Atlixco,60,2/15/2006 4:45
41,Augusta-Richmond County,103,2/15/2006 4:45
42,Aurora,103,2/15/2006 4:45
43,Avellaneda,6,2/15/2006 4:45
44,Bag,15,2/15/2006 4:45
45,Baha Blanca,6,2/15/2006 4:45
46,Baicheng,23,2/15/2006 4:45
47,Baiyin,23,2/15/2006 4:45
48,Baku,10,2/15/2006 4:45
49,Balaiha,80,2/15/2006 4:45
50,Balikesir,97,2/15/2006 4:45
51,Balurghat,44,2/15/2006 4:45
52,Bamenda,19,2/15/2006 4:45
53,Bandar Seri Begawan,16,2/15/2006 4:45
54,Banjul,37,2/15/2006 4:45
55,Barcelona,104,2/15/2006 4:45
56,Basel,91,2/15/2006 4:45
57,Bat Yam,48,2/15/2006 4:45
58,Batman,97,2/15/2006 4:45
59,Batna,2,2/15/2006 4:45
60,Battambang,18,2/15/2006 4:45
61,Baybay,75,2/15/2006 4:45
62,Bayugan,75,2/15/2006 4:45
63,Bchar,2,2/15/2006 4:45
64,Beira,63,2/15/2006 4:45
65,Bellevue,103,2/15/2006 4:45
66,Belm,15,2/15/2006 4:45
67,Benguela,4,2/15/2006 4:45
68,Beni-Mellal,62,2/15/2006 4:45
69,Benin City,69,2/15/2006 4:45
70,Bergamo,49,2/15/2006 4:45
71,Berhampore (Baharampur,,
72,Bern,91,2/15/2006 4:45
73,Bhavnagar,44,2/15/2006 4:45
74,Bhilwara,44,2/15/2006 4:45
75,Bhimavaram,44,2/15/2006 4:45
76,Bhopal,44,2/15/2006 4:45
77,Bhusawal,44,2/15/2006 4:45
78,Bijapur,44,2/15/2006 4:45
79,Bilbays,29,2/15/2006 4:45
80,Binzhou,23,2/15/2006 4:45
81,Birgunj,66,2/15/2006 4:45
82,Bislig,75,2/15/2006 4:45
83,Blumenau,15,2/15/2006 4:45
84,Boa Vista,15,2/15/2006 4:45
85,Boksburg,85,2/15/2006 4:45
86,Botosani,78,2/15/2006 4:45
87,Botshabelo,85,2/15/2006 4:45
88,Bradford,102,2/15/2006 4:45
89,Braslia,15,2/15/2006 4:45
90,Bratislava,84,2/15/2006 4:45
91,Brescia,49,2/15/2006 4:45
92,Brest,34,2/15/2006 4:45
93,Brindisi,49,2/15/2006 4:45
94,Brockton,103,2/15/2006 4:45
95,Bucuresti,78,2/15/2006 4:45
96,Buenaventura,24,2/15/2006 4:45
97,Bydgoszcz,76,2/15/2006 4:45
98,Cabuyao,75,2/15/2006 4:45
99,Callao,74,2/15/2006 4:45
100,Cam Ranh,105,2/15/2006 4:45
101,Cape Coral,103,2/15/2006 4:45
